customer_id,first_name,last_name,city,state,signup_date,segment
C0001,Thomas,Campbell,Hyderabad,India,2022-07-12,Consumer
C0002,Sherry,Fernandez,Mumbai,India,2023-01-28,Home Office
C0003,Sharon,Santos,Pune,India,2026-04-14,Consumer
C0004,Matthew,Smith,Delhi,India,2024-12-01,Consumer
C0005,Scott,Young,Hyderabad,India,2022-10-17,Consumer
C0006,Barbara,White,Hyderabad,India,2024-11-24,Home Office
C0007,Larry,Sharp,Chennai,India,2024-10-31,Consumer
C0008,Michelle,Jackson,Chennai,India,2023-05-04,Corporate
C0009,Trevor,Blackwell,Mumbai,India,2024-08-14,Consumer
C0010,Kimberly,Lewis,Mumbai,India,2024-09-17,Consumer
C0011,Karen,Tate,Delhi,India,2024-02-21,Home Office
C0012,Terry,Moore,Chennai,India,2026-02-03,Consumer
C0013,William,Ortiz,Chennai,India,2026-06-21,Consumer
C0014,Mason,Carey,Hyderabad,India,2025-03-09,Home Office
C0015,Cody,Patterson,Hyderabad,India,2023-01-18,Home Office
C0016,Ricky,Jones,Bangalore,India,2022-09-17,Consumer
C0017,Robert,Newman,Bangalore,India,2026-01-28,Home Office
C0018,Jake,Mendoza,Pune,India,2023-08-11,Consumer
C0019,Anna,Benjamin,Kolkata,India,2023-06-03,Consumer
C0020,William,Alvarez,Hyderabad,India,2023-03-20,Corporate
C0021,Jose,Rodriguez,Pune,India,2022-10-18,Corporate
C0022,Steven,Bailey,Delhi,India,2023-10-29,Consumer
C0023,Barry,Dennis,Kolkata,India,2024-07-13,Corporate
C0024,Erin,Finley,Mumbai,India,2026-04-20,Consumer
C0025,Jennifer,Meyer,Bangalore,India,2023-09-13,Consumer
C0026,Corey,Reid,Pune,India,2022-11-26,Corporate
C0027,Timothy,Harris,Chennai,India,2025-02-19,Corporate
C0028,Victoria,Maddox,Kolkata,India,2022-11-23,Consumer
C0029,Tracie,Rowe,Hyderabad,India,2023-03-25,Corporate
C0030,Sherri,Lee,Chennai,India,2024-07-15,Consumer
C0031,Amanda,Armstrong,Bangalore,India,2022-10-31,Consumer
C0032,Patrick,Smith,Chennai,India,2024-03-08,Corporate
C0033,Brandy,Smith,Kolkata,India,2024-10-20,Home Office
C0034,Stephanie,Stewart,Chennai,India,2025-11-12,Corporate
C0035,Kelly,Garza,Chennai,India,2024-12-29,Consumer
C0036,Alyssa,Kelley,Hyderabad,India,2026-03-09,Consumer
C0037,Alexis,Gilbert,Mumbai,India,2025-04-08,Home Office
C0038,Benjamin,Ball,Delhi,India,2024-04-21,Corporate
C0039,Carrie,Olson,Mumbai,India,2026-03-20,Consumer
C0040,Courtney,Nguyen,Kolkata,India,2025-12-15,Consumer
C0041,Ashley,Goodman,Bangalore,India,2024-11-20,Corporate
C0042,Whitney,Lawson,Bangalore,India,2023-08-07,Home Office
C0043,Mary,Norris,Kolkata,India,2026-01-02,Corporate
C0044,Jonathan,Simon,Delhi,India,2022-08-21,Corporate
C0045,Christine,Harris,Pune,India,2024-08-24,Consumer
C0046,Gary,Gutierrez,Hyderabad,India,2023-01-27,Corporate
C0047,Paul,Garcia,Hyderabad,India,2023-04-13,Home Office
C0048,Susan,French,Hyderabad,India,2023-09-16,Consumer
C0049,Amanda,Ford,Chennai,India,2023-08-01,Home Office
C0050,Karen,Greene,Delhi,India,2026-04-10,Home Office
C0051,Adam,Zuniga,Hyderabad,India,2023-01-05,Consumer
C0052,Shawn,Richards,Delhi,India,2025-12-26,Corporate
C0053,Kevin,Cisneros,Bangalore,India,2025-07-03,Corporate
C0054,Alexander,Andrade,Hyderabad,India,2022-12-19,Home Office
C0055,Adam,Wells,Chennai,India,2023-09-16,Consumer
C0056,Brandon,Mccall,Hyderabad,India,2025-09-24,Corporate
C0057,George,Lee,Kolkata,India,2024-07-14,Consumer
C0058,Kent,Nelson,Delhi,India,2022-11-07,Consumer
C0059,Nicole,Allen,Kolkata,India,2024-08-22,Corporate
C0060,Tina,Newton,Bangalore,India,2025-10-04,Corporate
C0061,Alex,Blackwell,Mumbai,India,2024-10-22,Consumer
C0062,Jane,Gallagher,Chennai,India,2025-06-04,Home Office
C0063,Mary,Hunter,Pune,India,2024-04-13,Consumer
C0064,Brad,Long,Hyderabad,India,2022-10-05,Corporate
C0065,Brandon,Wright,Bangalore,India,2024-04-06,Home Office
C0066,Nancy,Watson,Bangalore,India,2025-04-16,Consumer
C0067,Charlene,Vargas,Pune,India,2024-01-07,Consumer
C0068,Emma,Ortega,Delhi,India,2024-05-09,Home Office
C0069,Brendan,Tate,Chennai,India,2023-05-24,Home Office
C0070,Nicole,Murphy,Pune,India,2024-06-19,Home Office
C0071,Zachary,Williams,Chennai,India,2023-03-01,Corporate
C0072,Kenneth,Howell,Chennai,India,2026-04-08,Corporate
C0073,Ashley,Sanchez,Pune,India,2025-08-28,Consumer
C0074,Patricia,Wu,Delhi,India,2022-09-09,Home Office
C0075,Jennifer,Valdez,Bangalore,India,2024-07-11,Consumer
C0076,Robert,Spencer,Kolkata,India,2023-03-19,Consumer
C0077,Melinda,Brown,Kolkata,India,2026-02-22,Consumer
C0078,Mallory,Hurst,Delhi,India,2025-02-12,Home Office
C0079,Jamie,Hobbs,Delhi,India,2026-04-24,Home Office
C0080,Christopher,Rice,Bangalore,India,2026-06-25,Home Office
C0081,Nicholas,Nichols,Mumbai,India,2023-07-08,Corporate
C0082,Craig,Jimenez,Bangalore,India,2023-05-24,Home Office
C0083,Tracy,Waller,Bangalore,India,2025-04-07,Home Office
C0084,Samuel,Garcia,Pune,India,2025-02-28,Home Office
C0085,Larry,Collins,Kolkata,India,2023-06-10,Consumer
C0086,Brittany,Chambers,Hyderabad,India,2026-03-30,Home Office
C0087,Erica,Perez,Mumbai,India,2022-12-05,Home Office
C0088,Hector,Rodriguez,Chennai,India,2023-05-31,Corporate
C0089,Stephanie,Tapia,Kolkata,India,2022-11-11,Home Office
C0090,Shane,Hall,Pune,India,2026-06-15,Consumer
C0091,Destiny,Morrison,Pune,India,2023-04-15,Corporate
C0092,Jenny,Hernandez,Delhi,India,2023-09-04,Corporate
C0093,Kayla,Chandler,Mumbai,India,2024-11-11,Home Office
C0094,Jeffrey,Hayes,Hyderabad,India,2026-05-11,Corporate
C0095,Brittney,Scott,Chennai,India,2026-01-05,Consumer
C0096,Amber,Reynolds,Chennai,India,2022-07-29,Consumer
